[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0331/500 | Score: 12 | Steps: 197 | Epsilon: 0.010
Game: 0332/500 | Score: 32 | Steps: 403 | Epsilon: 0.010
Game: 0333/500 | Score: 55 | Steps: 711 | Epsilon: 0.010
Score: 55.
Game: 0334/500 | Score: 03 | Steps: 045 | Epsilon: 0.010
Game: 0335/500 | Score: 13 | Steps: 175 | Epsilon: 0.010
Game: 0336/500 | Score: 27 | Steps: 393 | Epsilon: 0.010
Game: 0337/500 | Score: 02 | Steps: 062 | Epsilon: 0.010
Game: 0338/500 | Score: 02 | Steps: 043 | Epsilon: 0.010
Game: 0339/500 | Score: 21 | Steps: 280 | Epsilon: 0.010
Game: 0340/500 | Score: 11 | Steps: 180 | Epsilon: 0.010
Game: 0341/500 | Score: 17 | Steps: 277 | Epsilon: 0.010
Game: 0342/500 | Score: 34 | Steps: 513 | Epsilon: 0.010
Game: 0343/500 | Score: 22 | Steps: 315 | Epsilon: 0.010
Game: 0344/500 | Score: 03 | Steps: 055 | Epsilon: 0.010
Game: 0345/500 | Score: 18 | Steps: 206 | Epsilon: 0.010
Game: 0346/500 | Score: 46 | Steps: 665 | Epsilon: 0.010
Game: 0347/500 | Score: 23 | Steps: 331 | Epsilon: 0.010
Game: 0348/500 | Score: 19 | Steps: 274 | Epsilon: 0.010
Game: 0349/500 | Score: 04 | Steps: 044 | Epsilon: 0.010
Game: 0350/500 | Score: 02 | Steps: 023 | Epsilon: 0.010
Game: 0351/500 | Score: 06 | Steps: 068 | Epsilon: 0.010
Game: 0352/500 | Score: 01 | Steps: 021 | Epsilon: 0.010
Game: 0353/500 | Score: 06 | Steps: 069 | Epsilon: 0.010
Game: 0354/500 | Score: 06 | Steps: 142 | Epsilon: 0.010
Game: 0355/500 | Score: 37 | Steps: 504 | Epsilon: 0.010
